Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cemend,Gas Flaring,Per Capita,Bunker Fuels
2014,Uganda,1426,125,1011,0,291,0,0.04,98
2014,Ukraine,61985,31649,8151,20874,1310,0,1.38,109
2014,United Arab Emirates,57641,2157,17922,34852,2176,534,6.34,17317
2014,United Kingdom,114486,31081,44274,37340,1218,573,1.78,10921
2014,United Republic of Tanzania,3153,178,2117,475,382,1,0.06,170
2014,United States,1432855,450047,576531,390719,11314,4244,4.43,30722
2014,Uruguay,1840,2,1700,25,112,0,0.54,251
2014,Uzebekistan,28692,1677,2086,23929,1000,0,0.97,0
2014,Vanuatu,42,0,42,0,0,0,0.16,10
2014,Venezuela,50510,204,28445,12731,1088,8042,1.65,1256
2014,Vietnam,45517,19246,12694,5349,8229,0,0.49,761
2014,Wallis ad Futuna,6,0,6,0,0,0,0.44,1
2014,Yemen,6190,137,5090,581,381,0,0.24,153
2014,Zambia,1228,132,797,0,299,0,0.08,33
2014,Zimbabwe,3278,2097,1005,0,177,0,0.22,9
